Time (min),Force (N),Position (mm)
1.07,3190,2.7168
1.08,3190,2.7229
1.08,3190,2.7291
1.08,3190,2.7352
1.08,3190,2.7409
1.09,3190,2.7464
1.09,3200,2.7523
1.09,3200,2.7584
1.09,3200,2.7645
1.09,3200,2.7707
1.10,3210,2.7767
1.10,3210,2.7822
1.10,3210,2.7878
1.10,3210,2.7938
1.11,3210,2.8000
1.11,3220,2.8061
1.11,3220,2.8122
1.11,3220,2.8181
1.12,3220,2.8236
1.12,3220,2.8293
1.12,3220,2.8354
1.12,3230,2.8415
1.12,3230,2.8477
1.13,3230,2.8539
1.13,3230,2.8595
1.13,3230,2.8651
1.13,3230,2.8708
1.14,3240,2.8770
1.14,3240,2.8832
1.14,3240,2.8894
1.14,3240,2.8954
1.15,3240,2.9010
1.15,3250,2.9065
1.15,3250,2.9124
1.15,3250,2.9185
1.16,3250,2.9246
1.16,3250,2.9309
1.16,3260,2.9367
1.16,3260,2.9424
1.16,3260,2.9481
1.17,3260,2.9541
1.17,3260,2.9602
1.17,3270,2.9663
1.17,3270,2.9725
1.18,3270,2.9782
1.18,3270,2.9838
1.18,3270,2.9895
1.18,3270,2.9957
1.19,3280,3.0018
1.19,3280,3.0079
1.19,3280,3.0141
1.19,3280,3.0197
1.19,3280,3.0253
1.20,3280,3.0311
1.20,3290,3.0372
1.20,3290,3.0433
1.20,3290,3.0495
1.21,3290,3.0556
1.21,3290,3.0611
1.21,3290,3.0668
1.21,3290,3.0726
1.22,3300,3.0788
1.22,3300,3.0849
1.22,3300,3.0912
1.22,3300,3.0970
1.23,3300,3.1025
1.23,3300,3.1082
1.23,3310,3.1142
1.23,3310,3.1203
1.23,3310,3.1265
1.24,3310,3.1327
1.24,3310,3.1384
1.24,3320,3.1439
1.24,3320,3.1497
1.25,3320,3.1558
1.25,3320,3.1619
1.25,3320,3.1681
1.25,3330,3.1742
1.26,3330,3.1798
1.26,3330,3.1853
1.26,3330,3.1911
1.26,3330,3.1974
1.26,3330,3.2035
1.27,3330,3.2096
1.27,3340,3.2156
1.27,3340,3.2212
1.27,3340,3.2268
1.28,3340,3.2326
1.28,3340,3.2389
1.28,3340,3.2450
1.28,3350,3.2512
1.29,3350,3.2571
1.29,3350,3.2626
1.29,3350,3.2682
1.29,3350,3.2743
1.30,3350,3.2805
1.30,3350,3.2866
1.30,3360,3.2927
1.30,3360,3.2985
1.30,3360,3.3039
1.31,3360,3.3097
1.31,3360,3.3159
1.31,3360,3.3220
1.31,3370,3.3281
1.32,3370,3.3343
1.32,3370,3.3399
1.32,3370,3.3454
1.32,3370,3.3513
1.33,3370,3.3575
1.33,3370,3.3636
1.33,3380,3.3698
1.33,3380,3.3758
1.33,3380,3.3813
1.34,3380,3.3870
1.34,3380,3.3929
1.34,3380,3.3992
1.34,3380,3.4053
1.35,3390,3.4115
1.35,3390,3.4173
1.35,3390,3.4228
1.35,3390,3.4285
1.36,3390,3.4346
1.36,3390,3.4407
1.36,3390,3.4469
1.36,3400,3.4530
1.37,3400,3.4587
1.37,3400,3.4642
1.37,3400,3.4700
1.37,3400,3.4761
1.37,3400,3.4822
1.38,3400,3.4884
1.38,3410,3.4945
1.38,3410,3.5001
1.38,3410,3.5056
1.39,3410,3.5115
1.39,3410,3.5177
1.39,3410,3.5238
1.39,3410,3.5299
1.40,3420,3.5359
1.40,3420,3.5415
1.40,3420,3.5471
1.40,3420,3.5531
1.40,3420,3.5593
1.41,3420,3.5654
1.41,3420,3.5716
1.41,3420,3.5774
1.41,3420,3.5829
1.42,3430,3.5886
1.42,3430,3.5947
1.42,3430,3.6008
1.42,3430,3.6070
1.43,3430,3.6131
1.43,3430,3.6187
1.43,3430,3.6243
1.43,3430,3.6301
1.44,3440,3.6363
1.44,3440,3.6423
1.44,3440,3.6485
1.44,3440,3.6546
1.44,3440,3.6601
1.45,3440,3.6657
1.45,3440,3.6715
1.45,3450,3.6777
1.45,3450,3.6839
1.46,3450,3.6901
1.46,3450,3.6960
1.46,3450,3.7015
1.46,3450,3.7072
1.47,3450,3.7132
1.47,3450,3.7194
1.47,3460,3.7255
1.47,3460,3.7317
1.47,3460,3.7374
1.48,3460,3.7429
1.48,3460,3.7487
1.48,3460,3.7548
1.48,3460,3.7609
1.49,3460,3.7671
1.49,3470,3.7732
1.49,3470,3.7789
1.49,3470,3.7844
1.50,3470,3.7902
1.50,3470,3.7964
1.50,3470,3.8025
1.50,3470,3.8087
1.51,3470,3.8148
1.51,3470,3.8202
1.51,3470,3.8258
1.51,3480,3.8318
1.51,3480,3.8380
1.52,3480,3.8441
1.52,3480,3.8503
1.52,3480,3.8561
1.52,3480,3.8616
1.53,3480,3.8673
1.53,3480,3.8734
1.53,3490,3.8795
1.53,3490,3.8856
1.54,3490,3.8918
1.54,3490,3.8975
1.54,3490,3.9030
1.54,3490,3.9088
1.54,3490,3.9149
1.55,3490,3.9210
1.55,3500,3.9272
1.55,3500,3.9333
1.55,3500,3.9389
1.56,3500,3.9444
1.56,3500,3.9503
1.56,3500,3.9565
1.56,3500,3.9626
1.57,3500,3.9688
1.57,3500,3.9747
1.57,3500,3.9802
1.57,3510,3.9859
1.58,3510,3.9919
1.58,3510,3.9981
1.58,3510,4.0042
1.58,3510,4.0104
1.58,3510,4.0161
1.59,3510,4.0217
1.59,3510,4.0274
1.59,3510,4.0335
1.59,3520,4.0396
1.60,3520,4.0457
1.60,3520,4.0519
1.60,3520,4.0576
1.60,3520,4.0630
1.61,3520,4.0689
1.61,3520,4.0750
1.61,3520,4.0812
1.61,3520,4.0874
1.61,3530,4.0934
1.62,3530,4.0990
1.62,3530,4.1046
1.62,3530,4.1104
1.62,3530,4.1167
1.63,3530,4.1228
1.63,3530,4.1290
1.63,3530,4.1348
1.63,3530,4.1404
1.64,3530,4.1460
1.64,3530,4.1521
1.64,3540,4.1583
1.64,3540,4.1644
1.65,3540,4.1705
1.65,3540,4.1763
1.65,3540,4.1818
1.65,3540,4.1875
1.65,3540,4.1937
1.66,3540,4.1998
1.66,3540,4.2059
1.66,3550,4.2120
1.66,3540,4.2177
1.67,3540,4.2232
1.67,3550,4.2290
1.67,3550,4.2352
1.67,3550,4.2413
1.68,3550,4.2475
1.68,3550,4.2534
1.68,3550,4.2590
1.68,3550,4.2646
1.68,3550,4.2705
1.69,3550,4.2767
1.69,3560,4.2828
1.69,3560,4.2890
1.69,3560,4.2949
1.70,3560,4.3004
1.70,3560,4.3061
1.70,3560,4.3122
1.70,3560,4.3183
1.71,3560,4.3244
1.71,3560,4.3306
1.71,3560,4.3362
1.71,3560,4.3418
1.72,3560,4.3476
1.72,3570,4.3537
1.72,3570,4.3598
1.72,3570,4.3660
1.72,3570,4.3721
1.73,3570,4.3777
1.73,3570,4.3832
1.73,3570,4.3890
1.73,3570,4.3953
1.74,3570,4.4014
1.74,3580,4.4076
1.74,3580,4.4136
1.74,3580,4.4191
1.75,3580,4.4247
1.75,3580,4.4306
1.75,3580,4.4369
1.75,3580,4.4429
1.75,3580,4.4491
1.76,3580,4.4550
1.76,3580,4.4605
1.76,3580,4.4661
