Time (min),Force (N),Position (mm)
1.46,304,3.7069
1.47,304,3.7156
1.47,304,3.7244
1.47,304,3.7334
1.48,304,3.7427
1.48,304,3.7517
1.48,304,3.7604
1.49,304,3.7693
1.49,304,3.7784
1.49,304,3.7877
1.50,304,3.7964
1.50,304,3.8052
1.51,304,3.8142
1.51,304,3.8236
1.51,304,3.8326
1.52,304,3.8413
1.52,304,3.8502
1.52,304,3.8593
1.53,304,3.8686
1.53,304,3.8773
1.53,304,3.8861
1.54,304,3.8951
1.54,304,3.9045
1.54,304,3.9133
1.55,304,3.9221
1.55,304,3.9310
1.55,304,3.9402
1.56,305,3.9494
1.56,305,3.9581
1.57,305,3.9670
1.57,305,3.9760
1.57,305,3.9853
1.58,305,3.9941
1.58,305,4.0028
1.58,305,4.0118
1.59,305,4.0209
1.59,305,4.0302
1.59,305,4.0389
1.60,305,4.0477
1.60,305,4.0567
1.60,306,4.0661
1.61,305,4.0750
1.61,305,4.0837
1.61,306,4.0926
1.62,305,4.1018
1.62,305,4.1110
1.63,306,4.1197
1.63,305,4.1286
1.63,305,4.1376
1.64,306,4.1470
1.64,306,4.1558
1.64,306,4.1645
1.65,305,4.1734
1.65,306,4.1826
1.65,306,4.1919
1.66,306,4.2005
1.66,306,4.2094
1.66,306,4.2184
1.67,306,4.2278
1.67,306,4.2365
1.67,306,4.2453
1.68,305,4.2542
1.68,306,4.2634
1.69,306,4.2726
1.69,306,4.2812
1.69,306,4.2901
1.70,306,4.2991
1.70,306,4.3085
1.70,306,4.3173
1.71,306,4.3261
1.71,306,4.3351
1.71,306,4.3442
1.72,306,4.3535
1.72,306,4.3621
1.72,306,4.3710
1.73,307,4.3800
1.73,306,4.3894
1.73,306,4.3981
1.74,306,4.4069
1.74,307,4.4158
1.75,307,4.4250
1.75,307,4.4342
1.75,307,4.4429
1.76,307,4.4517
1.76,307,4.4608
1.76,307,4.4701
1.77,307,4.4789
1.77,307,4.4877
1.77,307,4.4966
1.78,307,4.5058
1.78,307,4.5150
1.78,307,4.5236
1.79,307,4.5325
1.79,307,4.5415
1.79,307,4.5509
1.80,308,4.5597
1.80,307,4.5685
1.81,307,4.5775
1.81,308,4.5867
1.81,308,4.5958
1.82,307,4.6045
1.82,307,4.6133
1.82,308,4.6224
1.83,308,4.6317
1.83,308,4.6405
1.83,308,4.6493
1.84,308,4.6582
1.84,308,4.6674
1.84,308,4.6766
1.85,308,4.6852
1.85,308,4.6941
1.86,308,4.7031
1.86,308,4.7125
1.86,308,4.7212
1.87,308,4.7300
1.87,308,4.7389
1.87,308,4.7481
1.88,308,4.7573
1.88,308,4.7660
1.88,308,4.7748
1.89,309,4.7839
1.89,308,4.7933
1.89,308,4.8020
1.90,308,4.8108
1.90,309,4.8198
1.90,308,4.8290
1.91,309,4.8381
1.91,309,4.8468
1.92,308,4.8556
1.92,309,4.8646
1.92,309,4.8740
1.93,309,4.8828
1.93,309,4.8916
1.93,309,4.9006
1.94,309,4.9099
1.94,309,4.9189
1.94,309,4.9276
1.95,309,4.9366
1.95,309,4.9457
1.95,309,4.9550
1.96,309,4.9637
1.96,309,4.9725
1.96,309,4.9816
1.97,309,4.9908
1.97,309,4.9999
1.98,310,5.0086
1.98,309,5.0175
1.98,309,5.0266
1.99,310,5.0359
1.99,310,5.0446
1.99,309,5.0534
2.00,309,5.0624
2.00,310,5.0717
2.00,310,5.0807
2.01,310,5.0894
2.01,310,5.0984
2.01,310,5.1075
2.02,310,5.1168
2.02,310,5.1255
2.02,310,5.1343
2.03,310,5.1433
2.03,310,5.1527
2.04,310,5.1615
2.04,310,5.1703
2.04,310,5.1791
2.05,310,5.1883
2.05,310,5.1975
2.05,310,5.2062
2.06,310,5.2151
2.06,310,5.2241
2.06,311,5.2335
2.07,311,5.2423
2.07,310,5.2511
2.07,311,5.2600
2.08,310,5.2692
2.08,311,5.2784
2.08,310,5.2871
2.09,311,5.2959
2.09,311,5.3049
2.10,311,5.3143
2.10,311,5.3230
2.10,311,5.3318
2.11,311,5.3408
2.11,311,5.3501
2.11,311,5.3592
2.12,311,5.3679
2.12,311,5.3768
2.12,311,5.3858
2.13,311,5.3952
2.13,311,5.4039
2.13,311,5.4127
2.14,311,5.4217
2.14,311,5.4309
2.14,312,5.4400
2.15,311,5.4487
2.15,311,5.4576
2.16,311,5.4666
2.16,312,5.4760
2.16,311,5.4847
2.17,312,5.4935
2.17,312,5.5025
2.17,312,5.5118
2.18,312,5.5208
2.18,312,5.5294
2.18,312,5.5384
2.19,312,5.5474
2.19,312,5.5568
2.19,312,5.5655
2.20,312,5.5742
2.20,312,5.5833
2.20,312,5.5926
2.21,312,5.6016
2.21,312,5.6103
2.22,312,5.6192
2.22,312,5.6283
2.22,312,5.6376
2.23,312,5.6462
2.23,313,5.6551
2.23,312,5.6641
2.24,313,5.6735
2.24,313,5.6823
2.24,312,5.6911
2.25,312,5.7000
2.25,312,5.7091
2.25,313,5.7184
2.26,312,5.7270
2.26,313,5.7359
2.26,312,5.7449
2.27,313,5.7542
2.27,313,5.7631
2.28,313,5.7718
2.28,313,5.7808
2.28,313,5.7899
2.29,313,5.7992
2.29,313,5.8078
2.29,313,5.8167
2.30,313,5.8257
2.30,313,5.8351
2.30,313,5.8439
2.31,313,5.8526
2.31,314,5.8616
2.31,313,5.8708
2.32,314,5.8799
2.32,313,5.8886
2.32,313,5.8975
2.33,313,5.9065
2.33,314,5.9159
2.34,313,5.9246
2.34,313,5.9334
