rl	V(a)	V(b)	V(c)	I(Rlth)	I(Rl)
9.810000000000000e+02	5.202592e+00	4.384971e+00	8.174806e-01	8.333136e-04	8.334572e-04
9.910000000000000e+02	5.205842e+00	4.383496e+00	8.222039e-01	8.296709e-04	8.298139e-04
1.001000000000000e+03	5.209063e+00	4.382034e+00	8.268861e-01	8.260600e-04	8.262023e-04
1.011000000000000e+03	5.212256e+00	4.380585e+00	8.315276e-01	8.224803e-04	8.226220e-04
1.021000000000000e+03	5.215422e+00	4.379148e+00	8.361291e-01	8.189316e-04	8.190727e-04
1.031000000000000e+03	5.218560e+00	4.377724e+00	8.406911e-01	8.154133e-04	8.155538e-04
1.041000000000000e+03	5.221672e+00	4.376312e+00	8.452141e-01	8.119251e-04	8.120650e-04
1.051000000000000e+03	5.224757e+00	4.374912e+00	8.496985e-01	8.084667e-04	8.086060e-04
1.061000000000000e+03	5.227816e+00	4.373524e+00	8.541448e-01	8.050376e-04	8.051763e-04
1.071000000000000e+03	5.230849e+00	4.372147e+00	8.585536e-01	8.016374e-04	8.017755e-04
1.081000000000000e+03	5.233856e+00	4.370782e+00	8.629254e-01	7.982659e-04	7.984034e-04
1.091000000000000e+03	5.236839e+00	4.369429e+00	8.672605e-01	7.949225e-04	7.950595e-04
1.101000000000000e+03	5.239796e+00	4.368087e+00	8.715594e-01	7.916071e-04	7.917435e-04
1.111000000000000e+03	5.242729e+00	4.366755e+00	8.758227e-01	7.883193e-04	7.884551e-04
1.121000000000000e+03	5.245638e+00	4.365436e+00	8.800507e-01	7.850586e-04	7.851939e-04
1.131000000000000e+03	5.248523e+00	4.364127e+00	8.842438e-01	7.818248e-04	7.819595e-04
1.141000000000000e+03	5.251384e+00	4.362828e+00	8.884025e-01	7.786175e-04	7.787516e-04
1.151000000000000e+03	5.254221e+00	4.361540e+00	8.925273e-01	7.754364e-04	7.755700e-04
1.161000000000000e+03	5.257036e+00	4.360263e+00	8.966185e-01	7.722812e-04	7.724143e-04
1.171000000000000e+03	5.259828e+00	4.358996e+00	9.006765e-01	7.691516e-04	7.692841e-04
1.181000000000000e+03	5.262597e+00	4.357739e+00	9.047018e-01	7.660472e-04	7.661792e-04
1.191000000000000e+03	5.265344e+00	4.356493e+00	9.086947e-01	7.629679e-04	7.630993e-04
1.201000000000000e+03	5.268069e+00	4.355256e+00	9.126557e-01	7.599131e-04	7.600440e-04
1.211000000000000e+03	5.270772e+00	4.354029e+00	9.165850e-01	7.568827e-04	7.570132e-04
1.221000000000000e+03	5.273454e+00	4.352812e+00	9.204831e-01	7.538764e-04	7.540063e-04
1.231000000000000e+03	5.276114e+00	4.351604e+00	9.243504e-01	7.508939e-04	7.510233e-04
1.241000000000000e+03	5.278754e+00	4.350407e+00	9.281872e-01	7.479349e-04	7.480638e-04
1.251000000000000e+03	5.281373e+00	4.349218e+00	9.319939e-01	7.449992e-04	7.451275e-04
1.261000000000000e+03	5.283971e+00	4.348039e+00	9.357708e-01	7.420863e-04	7.422141e-04
1.271000000000000e+03	5.286549e+00	4.346869e+00	9.395183e-01	7.391961e-04	7.393236e-04
1.281000000000000e+03	5.289107e+00	4.345708e+00	9.432368e-01	7.363285e-04	7.364553e-04
1.291000000000000e+03	5.291646e+00	4.344556e+00	9.469264e-01	7.334829e-04	7.336093e-04
1.301000000000000e+03	5.294165e+00	4.343413e+00	9.505877e-01	7.306593e-04	7.307852e-04
1.311000000000000e+03	5.296664e+00	4.342279e+00	9.542209e-01	7.278573e-04	7.279827e-04
1.321000000000000e+03	5.299144e+00	4.341153e+00	9.578264e-01	7.250767e-04	7.252017e-04
1.331000000000000e+03	5.301606e+00	4.340036e+00	9.614044e-01	7.223173e-04	7.224418e-04
1.341000000000000e+03	5.304049e+00	4.338927e+00	9.649552e-01	7.195788e-04	7.197028e-04
1.351000000000000e+03	5.306473e+00	4.337827e+00	9.684793e-01	7.168610e-04	7.169846e-04
1.361000000000000e+03	5.308879e+00	4.336735e+00	9.719768e-01	7.141637e-04	7.142868e-04
1.371000000000000e+03	5.311267e+00	4.335651e+00	9.754481e-01	7.114866e-04	7.116091e-04
1.381000000000000e+03	5.313638e+00	4.334576e+00	9.788935e-01	7.088294e-04	7.089516e-04
1.391000000000000e+03	5.315990e+00	4.333508e+00	9.823132e-01	7.061921e-04	7.063138e-04
1.401000000000000e+03	5.318326e+00	4.332448e+00	9.857076e-01	7.035743e-04	7.036955e-04
1.411000000000000e+03	5.320643e+00	4.331396e+00	9.890769e-01	7.009758e-04	7.010966e-04
1.421000000000000e+03	5.322945e+00	4.330352e+00	9.924214e-01	6.983965e-04	6.985168e-04
1.431000000000000e+03	5.325229e+00	4.329316e+00	9.957414e-01	6.958360e-04	6.959559e-04
1.441000000000000e+03	5.327496e+00	4.328287e+00	9.990371e-01	6.932943e-04	6.934138e-04
