Time (min),Force (N),Position (mm)
0.847,300,2.1412
0.848,300,2.1452
0.850,300,2.1493
0.852,299,2.1535
0.853,300,2.1578
0.855,300,2.1620
0.857,300,2.1662
0.858,300,2.1706
0.860,300,2.1751
0.862,300,2.1793
0.863,300,2.1834
0.865,299,2.1875
0.867,299,2.1917
0.868,300,2.1958
0.870,300,2.2001
0.872,300,2.2043
0.873,299,2.2086
0.875,300,2.2131
0.877,300,2.2174
0.878,300,2.2216
0.880,300,2.2257
0.882,300,2.2298
0.883,300,2.2340
0.885,300,2.2381
0.887,300,2.2424
0.888,299,2.2466
0.890,300,2.2511
0.892,300,2.2555
0.893,300,2.2597
0.895,300,2.2638
0.897,300,2.2679
0.898,300,2.2720
0.900,300,2.2762
0.902,300,2.2805
0.903,300,2.2846
0.905,300,2.2890
0.907,300,2.2935
0.908,300,2.2979
0.910,300,2.3021
0.912,299,2.3061
0.913,300,2.3102
0.915,300,2.3144
0.917,300,2.3186
0.918,300,2.3228
0.920,299,2.3271
0.922,300,2.3315
0.923,300,2.3359
0.925,300,2.3402
0.927,300,2.3443
0.928,300,2.3484
0.930,300,2.3525
0.932,300,2.3567
0.933,300,2.3609
0.935,300,2.3652
0.937,300,2.3695
0.938,300,2.3739
0.940,300,2.3783
0.942,300,2.3825
0.943,300,2.3866
0.945,300,2.3907
0.947,300,2.3949
0.948,300,2.3991
0.950,300,2.4033
0.952,299,2.4076
0.953,300,2.4120
0.955,300,2.4164
0.957,300,2.4207
0.958,300,2.4248
0.960,300,2.4289
0.962,300,2.4331
0.963,300,2.4372
0.965,300,2.4415
0.967,300,2.4458
0.968,300,2.4501
0.970,300,2.4546
0.972,300,2.4589
0.973,300,2.4630
0.975,300,2.4671
0.977,300,2.4712
0.978,300,2.4754
0.980,300,2.4796
0.982,300,2.4839
0.983,300,2.4881
0.985,300,2.4925
0.987,300,2.4970
0.988,300,2.5012
0.990,300,2.5053
0.992,300,2.5094
0.993,300,2.5135
0.995,300,2.5177
0.997,300,2.5219
0.998,300,2.5262
1.00,300,2.5305
1.00,300,2.5349
1.00,300,2.5393
1.00,300,2.5435
1.01,300,2.5475
1.01,300,2.5517
1.01,300,2.5558
1.01,300,2.5600
1.01,300,2.5642
1.01,300,2.5685
1.02,300,2.5729
1.02,300,2.5774
1.02,301,2.5816
1.02,300,2.5857
1.02,300,2.5898
1.02,300,2.5940
1.03,300,2.5981
1.03,300,2.6024
1.03,300,2.6066
1.03,301,2.6110
1.03,300,2.6154
1.03,300,2.6198
1.04,301,2.6239
1.04,301,2.6280
1.04,300,2.6321
1.04,300,2.6363
1.04,300,2.6405
1.05,300,2.6448
1.05,301,2.6491
1.05,300,2.6534
1.05,301,2.6578
1.05,301,2.6621
1.05,301,2.6662
1.06,300,2.6703
1.06,300,2.6744
1.06,301,2.6786
1.06,301,2.6828
1.06,300,2.6871
1.06,301,2.6914
1.07,301,2.6959
1.07,301,2.7003
1.07,301,2.7044
1.07,301,2.7084
1.07,300,2.7126
1.07,300,2.7167
1.08,301,2.7209
1.08,301,2.7252
1.08,300,2.7295
1.08,301,2.7338
1.08,301,2.7383
1.08,301,2.7426
1.09,301,2.7466
1.09,301,2.7507
1.09,301,2.7549
1.09,301,2.7591
1.09,300,2.7633
1.09,301,2.7675
1.10,301,2.7718
1.10,301,2.7763
1.10,301,2.7807
1.10,301,2.7848
1.10,301,2.7889
1.10,301,2.7930
1.11,301,2.7972
1.11,301,2.8014
1.11,301,2.8056
1.11,301,2.8099
1.11,301,2.8143
1.11,301,2.8188
1.12,301,2.8230
1.12,301,2.8271
1.12,301,2.8312
1.12,301,2.8354
1.12,301,2.8396
1.12,301,2.8438
1.13,301,2.8480
1.13,301,2.8524
1.13,301,2.8568
1.13,301,2.8612
1.13,301,2.8653
1.13,301,2.8694
1.14,301,2.8736
1.14,301,2.8777
1.14,301,2.8819
1.14,301,2.8861
1.14,301,2.8904
1.14,301,2.8948
1.15,301,2.8993
1.15,301,2.9035
1.15,301,2.9076
1.15,301,2.9117
1.15,301,2.9158
1.15,301,2.9200
1.16,301,2.9242
1.16,301,2.9285
1.16,301,2.9328
1.16,301,2.9373
1.16,301,2.9416
1.16,301,2.9458
1.17,301,2.9499
1.17,301,2.9540
1.17,301,2.9581
1.17,301,2.9624
1.17,301,2.9666
1.17,301,2.9709
1.18,301,2.9753
1.18,301,2.9798
1.18,301,2.9840
1.18,301,2.9881
1.18,301,2.9922
1.18,301,2.9963
1.19,301,3.0005
1.19,301,3.0047
1.19,301,3.0089
1.19,301,3.0133
1.19,301,3.0178
1.19,301,3.0221
1.20,301,3.0263
1.20,301,3.0303
1.20,302,3.0344
1.20,301,3.0386
1.20,301,3.0428
1.20,301,3.0471
1.21,301,3.0513
1.21,301,3.0557
1.21,301,3.0602
1.21,302,3.0644
1.21,302,3.0685
1.21,302,3.0726
1.22,301,3.0767
1.22,301,3.0810
1.22,302,3.0851
1.22,302,3.0894
1.22,302,3.0937
1.22,301,3.0982
1.23,301,3.1026
1.23,302,3.1067
1.23,302,3.1108
1.23,302,3.1149
1.23,301,3.1191
1.23,301,3.1233
1.24,302,3.1275
1.24,302,3.1318
1.24,302,3.1362
1.24,302,3.1407
1.24,302,3.1449
1.24,302,3.1489
1.25,302,3.1531
1.25,302,3.1572
1.25,302,3.1615
1.25,302,3.1657
1.25,302,3.1699
1.25,302,3.1743
1.25,302,3.1787
1.26,302,3.1831
1.26,302,3.1872
1.26,302,3.1913
1.26,302,3.1954
1.26,302,3.1996
1.26,302,3.2038
1.27,302,3.2080
1.27,302,3.2123
1.27,302,3.2167
1.27,302,3.2212
1.27,302,3.2255
1.27,302,3.2295
1.28,302,3.2336
1.28,302,3.2378
1.28,302,3.2420
1.28,302,3.2462
1.28,302,3.2505
1.29,302,3.2548
1.29,302,3.2593
1.29,302,3.2636
1.29,302,3.2677
1.29,303,3.2718
1.29,302,3.2759
1.30,302,3.2801
1.30,302,3.2843
1.30,302,3.2886
1.30,302,3.2928
1.30,302,3.2973
1.30,302,3.3017
1.31,302,3.3059
1.31,303,3.3100
1.31,302,3.3141
1.31,302,3.3182
1.31,302,3.3224
1.31,302,3.3267
1.32,303,3.3310
1.32,302,3.3353
1.32,302,3.3397
1.32,303,3.3441
1.32,303,3.3482
1.32,302,3.3523
1.33,302,3.3564
1.33,302,3.3606
1.33,303,3.3648
1.33,302,3.3691
1.33,303,3.3733
1.33,303,3.3777
1.34,302,3.3822
1.34,303,3.3864
1.34,303,3.3905
1.34,303,3.3946
